constructor,target,variant,kind,ema_error,anchor_error,passage_error,ema_v,ema_a,anchor_v,anchor_a,passage_v,passage_a,tail_v,tail_a,target_v,target_a
harmonic-golden,calm,shuffle7,shuffled,0.3402838523056266,0.3267240809996935,0.2320579909306793,0.48296904030415133,0.4109207593004338,0.5201802158955414,0.4322315481136755,0.5373897706692936,0.292993556436603,0.6805000000000001,0.2855416666666667,0.75,0.2
harmonic-golden,calm,reversed,reversed,0.41869465082334906,0.25851682612674315,0.22320976105995655,0.42677130055326734,0.4661360901532522,0.6023513517406412,0.41220467963225715,0.5606931514833587,0.31826036756724685,0.685875,0.330625,0.75,0.2
harmonic-golden,focused,ordered,ordered,0.21813638300669191,0.14655254599691783,0.19010214264073266,0.464937746992088,0.4845208066235404,0.5741603831467549,0.4745966457636332,0.614360575400728,0.41326849207798305,0.6475833333333333,0.47,0.65,0.6
harmonic-golden,focused,shuffle0,shuffled,0.22130434521116932,0.15315762499930577,0.21973945191713165,0.457007217914652,0.4916976488145258,0.6150874907600706,0.45087463396859734,0.6485520321044604,0.3802653188096724,0.690375,0.33662499999999995,0.65,0.6
harmonic-golden,focused,shuffle1,shuffled,0.2473522424551474,0.2282824183063724,0.18114080935155175,0.44607876143902037,0.4600026417701175,0.45840161114101824,0.47589149950769694,0.5594355752355895,0.4431240050880102,0.6756249999999999,0.39687500000000003,0.65,0.6
harmonic-golden,focused,shuffle2,shuffled,0.2727164737748368,0.1581455838755721,0.18983458888983334,0.4077970391603838,0.47465247976643254,0.5578337169886968,0.4714877360901849,0.631318212137176,0.41108689314602737,0.6544375,0.374625,0.65,0.6
harmonic-golden,focused,shuffle3,shuffled,0.2165086625803926,0.15635729073069524,0.21745206380812712,0.47081262914772704,0.47847680427424444,0.5926562925498724,0.4545376283002462,0.6217615705904149,0.3843892601030884,0.6668333333333334,0.3705833333333334,0.65,0.6
harmonic-golden,focused,shuffle4,shuffled,0.18792305078980645,0.1551388787184725,0.1710219336735768,0.5058772186660724,0.47940274912452996,0.6036170028968753,0.45195713705228324,0.6872748737610985,0.4330895881511777,0.6889375,0.3749375,0.65,0.6
harmonic-golden,focused,shuffle5,shuffled,0.2020507004417353,0.1727856189073356,0.17260107651523596,0.48760253019634325,0.47978541124153756,0.5535376108054921,0.4566477151487347,0.638525741498683,0.42778074147743145,0.6190625000000001,0.40145833333333336,0.65,0.6
harmonic-golden,focused,shuffle6,shuffled,0.30706127356389906,0.1806372219966322,0.24827533966297802,0.3773948898637595,0.45867385362116514,0.5689849908139046,0.4385491583879555,0.6545966916190593,0.35176721668779043,0.6808958333333334,0.3990833333333333,0.65,0.6
harmonic-golden,focused,shuffle7,shuffled,0.20976905195293893,0.145152640275073,0.20352869126505366,0.5044551363776927,0.4489379338470483,0.6238491691104124,0.45722247017612,0.6675060609400938,0.39722557854002577,0.701125,0.4095,0.65,0.6
harmonic-golden,focused,reversed,reversed,0.21923528397820016,0.15664409029383358,0.23257199833439904,0.4698306938039836,0.47508750724668025,0.599073778662869,0.4518652943962684,0.6249079468420233,0.36878554699679134,0.685875,0.330625,0.65,0.6
harmonic-golden,excited,ordered,ordered,0.46483359106284106,0.4601804445402367,0.3765596816536552,0.5082364686347756,0.488137720747699,0.5458888013168192,0.46634189668267545,0.5839955112434461,0.5415534816469443,0.7173750000000001,0.482,0.8,0.85
harmonic-golden,excited,shuffle0,shuffled,0.531090958783957,0.45197868585074813,0.46059120391419733,0.414330513197853,0.48487446891263375,0.5508189406212507,0.4729144233595595,0.573573821677208,0.44890718917778527,0.7062499999999999,0.381,0.8,0.85
harmonic-golden,excited,shuffle1,shuffled,0.5449799988065865,0.5055206427860557,0.46194159179544886,0.4152360034881373,0.4640468084243292,0.47865501975335734,0.45975837747222326,0.5410403231090345,0.46746906010749945,0.6381874999999999,0.44075000000000003,0.8,0.85
harmonic-golden,excited,shuffle2,shuffled,0.503061486704245,0.46745627587090494,0.4630026780193641,0.4876925519274714,0.4556208457797115,0.5598104020209059,0.4489709151772945,0.5932623022938113,0.4357162757236926,0.64475,0.361625,0.8,0.85
harmonic-golden,excited,shuffle3,shuffled,0.5114795507904806,0.4637922531368544,0.45657759941594644,0.45352458037116145,0.4737472731396462,0.5255818105220746,0.47610441116079283,0.5864423680346,0.44644549052481247,0.656625,0.387125,0.8,0.85
harmonic-golden,excited,shuffle4,shuffled,0.44308732204027707,0.46568429717630255,0.46989232957901883,0.5364767101130464,0.4937952124971075,0.5867591696158244,0.43600698931787013,0.6249010326240069,0.4139505153987014,0.7023125,0.444375,0.8,0.85
harmonic-golden,excited,shuffle5,shuffled,0.46959033733905614,0.46320853566350007,0.40894030248462576,0.502879013204931,0.48635978752600395,0.5438383268811473,0.4640682123270045,0.5759355229363077,0.5079074962610386,0.6717500000000001,0.44787499999999997,0.8,0.85
harmonic-golden,excited,shuffle6,shuffled,0.5405148705666263,0.4741300841411546,0.4860375994422502,0.3941608628754953,0.4929973108200806,0.5338998563370594,0.4575843399783073,0.5441306368209533,0.4367646952910069,0.634,0.365,0.8,0.85
harmonic-golden,excited,shuffle7,shuffled,0.44184147713384614,0.45705182358865776,0.4390704083367917,0.5220438864676011,0.50654070129667,0.5801660998086169,0.4492888499525344,0.612609687746895,0.4529260845249077,0.7280625,0.541875,0.8,0.85
harmonic-golden,excited,reversed,reversed,0.5068959433167801,0.45620855308688846,0.48699903452304905,0.450958569918388,0.48242201176132493,0.591519479362053,0.4442141988386449,0.5666730681568137,0.4225346768414694,0.685875,0.330625,0.8,0.85
harmonic-prime,calm,ordered,ordered,0.3631710704077455,0.28533544401789884,0.23097241358277348,0.4444078613252154,0.3962311676601831,0.5675103694654091,0.41934869582525447,0.5353703971217143,0.28533691700876673,0.6921875000000001,0.22358333333333333,0.75,0.2
harmonic-prime,calm,shuffle0,shuffled,0.44487505157747587,0.3072337768338698,0.23124140970716198,0.38419794847177613,0.45318505211367527,0.5663856190845781,0.4463297642361769,0.6058472644710464,0.3808108912728299,0.6909583333333332,0.369375,0.75,0.2
harmonic-prime,calm,shuffle1,shuffled,0.41851324031660525,0.3261816334859415,0.2263758741432529,0.3981903953156795,0.42667892352878045,0.5444713418343938,0.45328329730995387,0.5389176013739136,0.28179399357153223,0.77,0.3609375,0.75,0.2
harmonic-prime,calm,shuffle2,shuffled,0.3925415008308396,0.27329264303576356,0.25367279527317194,0.45792137417776074,0.4622573282337796,0.6018499420613932,0.4296528446814033,0.5700355997895453,0.3787811559381914,0.7005,0.36125,0.75,0.2
harmonic-prime,calm,shuffle3,shuffled,0.42388717197819614,0.302177277580493,0.2225109877346456,0.39710100392311887,0.4348246859587004,0.5731648461527448,0.4450314988930523,0.5984793875280277,0.36294981944993365,0.6425,0.4030833333333334,0.75,0.2
harmonic-prime,calm,shuffle4,shuffled,0.4206129899775466,0.2818919777475484,0.19827648676102014,0.39832902008667725,0.4307440339958003,0.586784003028565,0.4298339084013602,0.5924955792491168,0.3204405357270622,0.6585833333333333,0.3787083333333333,0.75,0.2
