id,constructor,generator,target,length,intensity,style,ema_error,passage_error,ema_v,ema_a,passage_v,passage_a,target_v,target_a,n_lines
harmonic-organic-psg-rescue-11c54b6d,harmonic-organic,psg,rescue,medium,plain,unfiltered,0.3786156261323128,0.20458261266528333,0.4297556463919248,0.40197362781736967,0.6339561513273011,0.36848700421747993,0.75,0.2,24
harmonic-organic-word-template-calm-5c6da18d,harmonic-organic,word-template,calm,medium,plain,unfiltered,0.4366891804684911,0.33929707760007777,0.36672035678831605,0.4092705316994407,0.5819947386205983,0.49478252834384895,0.75,0.2,12
harmonic-organic-word-template-focused-a8b2fa74,harmonic-organic,word-template,focused,medium,plain,unfiltered,0.3470692980274762,0.24699355833888773,0.3525726464963249,0.42113114574894545,0.6561085034852433,0.3530819892229886,0.65,0.6,12
harmonic-organic-word-template-excited-8d6b43df,harmonic-organic,word-template,excited,medium,plain,unfiltered,0.5929183030149224,0.5368000654087381,0.37466096411120936,0.4369154824986909,0.5985649276500864,0.3524276717398659,0.8,0.85,12
harmonic-organic-word-template-rescue-c6e70bc8,harmonic-organic,word-template,rescue,medium,plain,unfiltered,0.44792471147772095,0.2881095040965628,0.3552345798469408,0.4116525695657347,0.517311467627448,0.3698915337886945,0.75,0.2,12
polygon-pca-psg-calm-57b971bb,polygon-pca,psg,calm,medium,plain,unfiltered,0.3381937175609631,0.15626146154145462,0.4571430384525576,0.3691442895013141,0.6136008088962981,0.276242409650583,0.75,0.2,24
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,psg,focused,medium,plain,unfiltered,0.2930467167199682,0.0661942231727341,0.37414180553357645,0.5011130204421325,0.6108083994359088,0.5466549568688294,0.65,0.6,24
polygon-pca-psg-excited-fe6db76a,polygon-pca,psg,excited,medium,plain,unfiltered,0.5208909185995177,0.3118974657389973,0.38356602115904137,0.5370941190291602,0.553134777561342,0.6593757856810397,0.8,0.85,24
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,psg,rescue,medium,plain,unfiltered,0.34323844096648626,0.27640864837625717,0.46302298415740256,0.38829981342311964,0.5522975701486957,0.3931721774171413,0.75,0.2,24
polygon-pca-word-template-calm-2ee4bee8,polygon-pca,word-template,calm,medium,plain,unfiltered,0.3905750055225975,0.1399104030610671,0.4074915776395923,0.38771471852564376,0.6101078734998594,0.20226137745166956,0.75,0.2,12
polygon-pca-word-template-focused-b75bde3b,polygon-pca,word-template,focused,medium,plain,unfiltered,0.3191662107860861,0.297437975178278,0.38306392573045944,0.4250365685032593,0.6201374012432338,0.3040649154398108,0.65,0.6,12
polygon-pca-word-template-excited-3d14010f,polygon-pca,word-template,excited,medium,plain,unfiltered,0.5617457014269187,0.3694428917919619,0.38940456436510895,0.4666338286867046,0.6076155286723763,0.534601418063432,0.8,0.85,12
polygon-pca-word-template-rescue-1e9b0891,polygon-pca,word-template,rescue,medium,plain,unfiltered,0.4132933341174259,0.3313289778058459,0.3834990928965659,0.39101954119476434,0.5075223121031608,0.42579517799561123,0.75,0.2,12
valley-psg-calm-05f538f2,valley,psg,calm,short,plain,unfiltered,0.2946576177925472,0.12914929206239867,0.5122326885348002,0.37403970041858114,0.6210712881174654,0.20754499122127562,0.75,0.2,8
valley-psg-calm-4876a2ae,valley,psg,calm,long,plain,unfiltered,0.34489636553833597,0.07250926482164441,0.4571734391237667,0.38222543238239576,0.681854845369192,0.22477562078573682,0.75,0.2,56
valley-psg-calm-0379d965,valley,psg,calm,medium,heightened,unfiltered,0.2983783437577899,0.03795723899011675,0.5021255273655965,0.36609600187800473,0.7140974590298723,0.1876809276468907,0.75,0.2,24
valley-psg-calm-8f575d87,valley,psg,calm,medium,plain,imagist,0.30556494957540214,0.10360784145398216,0.48830266163265595,0.357748031684918,0.646392739282085,0.1996531033533102,0.75,0.2,24
valley-psg-calm-da07eb5e,valley,psg,calm,medium,plain,abstract,0.2783734510446336,0.07789180255849232,0.5342141543415232,0.3758642859137553,0.7259946741112642,0.2741004536746351,0.75,0.2,24
harmonic-golden-psg-calm-4efc3a1c,harmonic-golden,psg,calm,short,plain,unfiltered,0.3299331880198947,0.12617818299557368,0.5071711727158003,0.42336084974039534,0.6523954162736479,0.2799642363789589,0.75,0.2,8
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,psg,calm,long,plain,unfiltered,0.3596550005877994,0.24413145697535224,0.4389002180065258,0.3804678505757267,0.5204548094690665,0.2831214400081334,0.75,0.2,56
harmonic-golden-psg-calm-e6f4d11f,harmonic-golden,psg,calm,medium,heightened,unfiltered,0.357851201192911,0.24872744543198907,0.45715253833146335,0.4056644023391121,0.5334564658627692,0.32236927692227757,0.75,0.2,24
harmonic-golden-psg-calm-3b1f7449,harmonic-golden,psg,calm,medium,plain,imagist,0.334633827758811,0.2666969265603703,0.47248574604974913,0.3869910092356027,0.49039662938179823,0.2611010687338292,0.75,0.2,24
harmonic-golden-psg-calm-ed9d973f,harmonic-golden,psg,calm,medium,plain,abstract,0.32331706489968615,0.19556168187139025,0.4842839692181458,0.3841980332166568,0.6013332889614329,0.3270534550704625,0.75,0.2,24
harmonic-golden-psg-rescue-56f69a2d,harmonic-golden,psg,rescue,short,plain,unfiltered,0.3488551896388407,0.23044028859735363,0.4728381406449114,0.4118519460774001,0.6098162597275018,0.38289681673567855,0.75,0.2,8
harmonic-golden-psg-rescue-2eeb20bd,harmonic-golden,psg,rescue,long,plain,unfiltered,0.37307903548316257,0.23942583084183436,0.4511919939870517,0.42338697871544057,0.5764504077544633,0.364940193724,0.75,0.2,56
harmonic-golden-psg-rescue-91653d2f,harmonic-golden,psg,rescue,medium,heightened,unfiltered,0.3586673213063509,0.18651389429153983,0.4557376552488766,0.40506564762203373,0.6232186332936832,0.33679882243599224,0.75,0.2,24
harmonic-golden-psg-rescue-d37393a3,harmonic-golden,psg,rescue,medium,plain,imagist,0.37935916318365526,0.2356970970909318,0.42477343382406474,0.3952973510952292,0.5388073205685995,0.30464594464993777,0.75,0.2,24
harmonic-golden-psg-rescue-bf3b46d3,harmonic-golden,psg,rescue,medium,plain,abstract,0.33635258389762135,0.12965877171643683,0.4719917452381389,0.38932636102474094,0.6972032879842132,0.3184225666135351,0.75,0.2,24
shuffled-graph-walk-psg-calm-7882d64d-abf99e1a,shuffled:graph-walk,psg,calm,medium,plain,unfiltered,0.43956020707562826,0.2010073468076198,0.37848586582119637,0.43492642199153136,0.551192174043263,0.229654709727032,0.75,0.2,24
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,psg,calm,medium,plain,unfiltered,0.33791992852297414,0.04581491987996364,0.44833649550822885,0.35227937532940934,0.7047327150084741,0.1929374372141932,0.75,0.2,24
shuffled-harmonic-golden-psg-calm-97bb7c28-2122ae4a,shuffled:harmonic-golden,psg,calm,medium,plain,unfiltered,0.37437931601333607,0.2323870129242016,0.4518991603809797,0.4264856765383819,0.5375607697858736,0.2941981806717225,0.75,0.2,24
shuffled-harmonic-prime-psg-calm-fc74a346-3f4c0647,shuffled:harmonic-prime,psg,calm,medium,plain,unfiltered,0.45767799461974584,0.258058341605566,0.3525406857024003,0.42692562710552107,0.5353470623997948,0.343241837644654,0.75,0.2,24
shuffled-harmonic-organic-psg-calm-5750362e-a6876772,shuffled:harmonic-organic,psg,calm,medium,plain,unfiltered,0.33098887967396234,0.2061473637426706,0.5172153570224878,0.4352975742791602,0.569090431806115,0.29883553871940494,0.75,0.2,24
shuffled-polygon-pca-psg-calm-57b971bb-d739a48a,shuffled:polygon-pca,psg,calm,medium,plain,unfiltered,0.3722961282602199,0.1420924511611249,0.45704916413856544,0.4297481553476261,0.6388079726178255,0.2884680604716664,0.75,0.2,24
neutral-calm,neutral,none,calm,,,,0.4041314258493471,0.21029989451758613,0.42475694583526963,0.43987322709428117,0.6092950986303652,0.3562951578414034,0.75,0.2,1
via-negativa-psg-calm-8f7d4a91,via-negativa,psg,calm,medium,plain,via-negativa,0.6058617454859713,0.5419891666979257,0.2819918338699769,0.5847555211805551,0.40953969835826015,0.621709662948251,0.75,0.2,24
via-negativa-psg-focused-25a90da2,via-negativa,psg,focused,medium,plain,via-negativa,0.4119762124346417,0.3295692314701974,0.26277481926703994,0.45935484715668495,0.3597632572917794,0.4438638046000266,0.65,0.6,24
via-negativa-psg-excited-95a9c43a,via-negativa,psg,excited,medium,plain,via-negativa,0.6921711183156567,0.7512694516733434,0.27478809533608284,0.39916376340222265,0.3828983054280164,0.22515444676084495,0.8,0.85,24
valley-gregory-calm-0379d965,valley,gregory,calm,medium,plain,gregory,0.3126672497720698,0.05864890120765177,0.4882521492897096,0.3710230152013857,0.6913664705374005,0.20134269714506864,0.75,0.2,24
valley-gregory-excited-deb0fe71,valley,gregory,excited,medium,plain,gregory,0.45461570772391274,0.43177846790726093,0.4663693676226803,0.5411860708309553,0.6472701154224247,0.4461358796510117,0.8,0.85,24
harmonic-golden-gregory-calm-97bb7c28,harmonic-golden,gregory,calm,medium,plain,gregory,0.39020748006966277,0.21454699924188622,0.41852070013797277,0.4058721721488762,0.5566559731006165,0.29299732332722495,0.75,0.2,24
harmonic-golden-gregory-excited-eb4786e9,harmonic-golden,gregory,excited,medium,plain,gregory,0.4852925571083572,0.36952588189055996,0.4920460699974869,0.4749356815414516,0.576697371313925,0.5555763029087418,0.8,0.85,24
