id,arm,closing,transfer_closing,drift_closing,residual_grain,d_before,local_spacing,n_within_grain,circumradius,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,score,map_novelty_grain,affect_novelty
hub_04,hub,0.5751764264434618,0.07357355385983977,0.059494107929106844,0.6682658517710253,6.619515895843506,0.8320796150443022,10.0,,0.5867947825898548,0.5415037156516224,0.5979815181656498,0.5556046839806185,2.486778274385725,2.0825663405825203,2.7279722164322022,0.6749999999999999,0.58,-1.2259094423306578,1.513314962387085,0.23707026244675805
hub_05,hub,0.44151421938748037,0.09375173327242103,0.1156585105683597,1.1211300422078578,8.447524070739746,1.0251315705904427,8.0,,0.6865821994451733,0.4382433540183272,0.8453430352899022,0.39836690446335615,2.715418120384172,1.6611041478895505,2.7771294540616176,0.52,0.528,-0.10632242837852057,1.5890226364135742,0.11325221714580203
hub_06,hub,0.46620268942102694,0.09526571189705935,0.09751980257088722,0.9036925204267346,7.12409782409668,0.9028329185370836,10.0,,0.550214365880226,0.4911282375810409,0.5964561967705201,0.4592742969875837,2.6272798959730217,2.3978646491921083,3.0416133977144324,0.44642857142857145,0.5971428571428571,-1.0648758562766423,1.4439789056777954,0.17022667571561811
hub_07,hub,0.45972298602911876,0.07663582328067875,0.1263481292405272,0.8023049364615847,6.248971462249756,0.9037775061131621,10.0,,0.5744028594182041,0.3357293341917348,0.639302428338613,0.26550155426568467,2.276722706020021,1.4624061995516384,2.947994354210304,0.52,0.528,-0.25244198254354155,1.3751925230026245,0.07887270777295412
hub_08,hub,0.3686839495534452,0.08052525705029945,0.0963547174813361,1.1056293328889903,7.369674205780029,0.9972930925730386,10.0,,0.5419063199524853,0.47401954396434154,0.5514177653030473,0.44807658031611214,2.5877769919273304,2.3153891868930314,3.1314943886060354,0.5125,0.575,-0.8684029226496911,1.5929145812988281,0.19587439312846383
hub_09,hub,0.44522737358433884,0.12093825228548183,0.17226819194650725,0.840314161487875,6.374002456665039,0.8908655174599976,10.0,,0.6282014171456327,0.45291190694704625,0.6917649401117338,0.3818648600488166,3.041629004720547,1.7438070979532685,3.817632855197846,0.5194444444444444,0.5444444444444445,1.757918572284089,1.5118430852890015,0.049097588415760965
hub_10,hub,0.49970701266535644,0.07074746173696833,0.09360355766734467,0.8397496299014999,7.063354015350342,0.7857190165841635,10.0,,0.48638473256353715,0.5260647131924582,0.5185305729302168,0.5473195076234695,2.626619011748425,1.971363257732995,3.0064127002877554,0.4840909090909091,0.5836363636363636,-0.4267862954874377,1.6641778945922852,0.28560534976800417
hub_11,hub,0.5225504927574132,0.04790558977643822,0.10510192490268488,0.7513920513793998,6.622541904449463,0.7576966861984549,10.0,,0.6003905091757477,0.4780193298261858,0.6149179673386959,0.4552525214200599,2.615447621903332,2.0091825337935867,2.93274259280944,0.6607142857142857,0.58,-0.6100636304171958,1.39340078830719,0.15284194110537322
unpoemed_wiki_00,unpoemed_wiki,0.23765156002252308,0.19092517593429648,0.05431766167248978,3.027205787910514,16.70990562438965,3.574530832268793,0.0,,0.546879017910565,0.42351732963220307,0.5887801400219204,0.42595095698396834,2.7645303332659994,2.3536319035888047,2.9058355919992143,0.475,0.54,-0.9636722894755847,2.102436065673828,0.15345766983229078
unpoemed_wiki_01,unpoemed_wiki,0.2481193524283547,0.19933631755967152,-0.029921628610765232,2.6222904650989,14.676329612731934,2.9112406658095953,0.0,,0.6103458219599941,0.4386170618759539,0.5775391396263976,0.39849386214524884,2.0876082395083246,1.7111342536726213,2.354963920591364,0.4791666666666667,0.5733333333333334,-1.79801721303464,1.7865183353424072,0.14479820828819134
unpoemed_wiki_02,unpoemed_wiki,0.41776303042873286,0.18280417846867214,0.06909301745481951,2.009085196507587,14.520586013793945,2.7663772375243987,0.0,,0.49137426480534674,0.462988276798481,0.6710069741527949,0.3310569710592262,2.656375581483542,2.2394640478121586,2.780703960261821,0.6950000000000001,0.6359999999999999,-1.130851810021931,2.0955638885498047,0.02992536368165927
unpoemed_wiki_03,unpoemed_wiki,0.22437979836013966,0.13884234368825366,0.04254414800925236,2.7299949784790747,14.811474800109863,2.8695213056566304,0.0,,0.584314974558052,0.47093429145823734,0.6601588530701825,0.38960441439438015,2.2972237642795728,1.8593814465221563,2.585919121263766,0.45714285714285713,0.5457142857142857,-1.3724003935812035,1.967551827430725,0.07822448336244761
