condition,gen,n_hops,drift,ttr,n_tokens
flow,79,5,0.17638668417930603,0.8602150537634409,93
flow,80,6,0.3344038426876068,0.9375,64
flow,81,5,0.16716064512729645,0.9634146341463414,82
flow,82,1,0.13258016109466553,0.9761904761904762,42
flow,83,4,0.19282680749893188,0.8275862068965517,87
flow,84,10,0.32558053731918335,0.8780487804878049,82
flow,85,11,0.26057395339012146,0.9195402298850575,87
flow,86,5,0.129381462931633,0.9120879120879121,91
flow,87,2,0.1424712836742401,0.9318181818181818,88
flow,88,6,0.1851169615983963,0.9081632653061225,98
flow,89,4,0.18426522612571716,0.8666666666666667,90
flow,90,1,0.19446253776550293,1.0,34
flow,91,3,0.16283740103244781,0.956989247311828,93
flow,92,5,0.2430921047925949,0.9662921348314607,89
flow,93,6,0.25819826126098633,0.8045977011494253,87
flow,94,4,0.1459907591342926,0.9375,96
flow,95,3,0.18142330646514893,0.9473684210526315,38
flow,96,5,0.2612488865852356,0.8947368421052632,76
flow,97,2,0.13693967461585999,0.9591836734693877,49
flow,98,4,0.141256183385849,0.927710843373494,83
flow,99,4,0.18883243203163147,0.9555555555555556,90
neutral_prose,0,2,0.12267223000526428,0.9696969696969697,99
neutral_prose,1,0,,0.9583333333333334,24
neutral_prose,2,5,0.22648289799690247,0.9206349206349206,63
neutral_prose,3,0,,1.0,1
neutral_prose,4,2,0.23705965280532837,0.9666666666666667,30
neutral_prose,5,0,,1.0,10
neutral_prose,6,6,0.3698105812072754,0.9367088607594937,79
neutral_prose,7,0,,1.0,7
neutral_prose,8,3,0.15622060000896454,0.7582417582417582,91
neutral_prose,9,0,,,0
neutral_prose,10,7,0.2006388157606125,0.8690476190476191,84
neutral_prose,11,0,,,0
neutral_prose,12,0,,1.0,2
neutral_prose,13,4,0.2287529706954956,0.8333333333333334,42
neutral_prose,14,2,0.19331002235412598,0.9487179487179487,39
neutral_prose,15,3,0.12399423122406006,0.9024390243902439,41
neutral_prose,16,1,0.183038592338562,0.9791666666666666,48
neutral_prose,17,3,0.28098636865615845,0.9574468085106383,47
neutral_prose,18,0,,1.0,3
neutral_prose,19,0,,0.9473684210526315,19
neutral_prose,20,0,,1.0,11
neutral_prose,21,0,,1.0,6
neutral_prose,22,5,0.19334378838539124,0.8842105263157894,95
neutral_prose,23,7,0.2666770815849304,0.9010989010989011,91
neutral_prose,24,1,0.21200287342071533,1.0,22
neutral_prose,25,6,0.1778535097837448,0.8870967741935484,62
neutral_prose,26,0,,1.0,20
neutral_prose,27,2,0.12031033635139465,0.9736842105263158,38
neutral_prose,28,5,0.19443276524543762,0.8913043478260869,92
neutral_prose,29,6,0.28645291924476624,0.9204545454545454,88
neutral_prose,30,2,0.16989272832870483,0.9230769230769231,26
neutral_prose,31,0,,1.0,4
neutral_prose,32,0,,1.0,8
neutral_prose,33,0,,1.0,15
neutral_prose,34,0,,0.9,10
neutral_prose,35,1,0.1058434247970581,0.9512195121951219,41
neutral_prose,36,3,0.18699152767658234,0.9142857142857143,70
neutral_prose,37,4,0.16387812793254852,0.8873239436619719,71
neutral_prose,38,3,0.24345989525318146,0.9285714285714286,42
neutral_prose,39,1,0.15238237380981445,1.0,19
neutral_prose,40,2,0.447968065738678,1.0,34
neutral_prose,41,0,,1.0,8
neutral_prose,42,0,,0.92,25
neutral_prose,43,3,0.15758837759494781,0.9090909090909091,66
neutral_prose,44,1,0.32050514221191406,1.0,14
neutral_prose,45,2,0.12632602453231812,0.9827586206896551,58
neutral_prose,46,7,0.298525869846344,0.8260869565217391,69
neutral_prose,47,0,,1.0,7
neutral_prose,48,0,,1.0,3
neutral_prose,49,6,0.1898374706506729,0.9120879120879121,91
neutral_prose,50,0,,1.0,1
neutral_prose,51,0,,1.0,16
neutral_prose,52,1,0.2101508378982544,0.9642857142857143,28
neutral_prose,53,12,0.2703472375869751,0.8666666666666667,90
neutral_prose,54,0,,1.0,10
neutral_prose,55,0,,1.0,11
neutral_prose,56,0,,1.0,7
neutral_prose,57,1,0.12149643898010254,0.9545454545454546,22
neutral_prose,58,0,,1.0,7
neutral_prose,59,6,0.15269307792186737,0.8241758241758241,91
neutral_prose,60,0,,1.0,6
neutral_prose,61,2,0.15565422177314758,0.9692307692307692,65
neutral_prose,62,3,0.10329645872116089,0.9263157894736842,95
neutral_prose,63,0,,1.0,14
neutral_prose,64,0,,1.0,12
neutral_prose,65,0,,1.0,9
neutral_prose,66,2,0.17870622873306274,0.9428571428571428,35
neutral_prose,67,1,0.16369682550430298,0.9459459459459459,74
neutral_prose,68,0,,0.9230769230769231,13
neutral_prose,69,3,0.13271862268447876,0.9154929577464789,71
neutral_prose,70,0,,1.0,9
neutral_prose,71,1,0.6557878255844116,1.0,16
neutral_prose,72,0,,,0
neutral_prose,73,0,,,0
neutral_prose,74,2,0.33868008852005005,1.0,26
neutral_prose,75,1,0.21420657634735107,0.9285714285714286,14
neutral_prose,76,6,0.22145061194896698,0.9032258064516129,93
neutral_prose,77,1,0.13000702857971191,1.0,20
neutral_prose,78,0,,,0
neutral_prose,79,4,0.1441534459590912,0.8735632183908046,87
neutral_prose,80,6,0.28918078541755676,0.9344262295081968,61
neutral_prose,81,1,0.2826576232910156,1.0,18
neutral_prose,82,0,,1.0,2
neutral_prose,83,3,0.15579038858413696,0.9107142857142857,56
neutral_prose,84,0,,1.0,7
neutral_prose,85,0,,1.0,5
neutral_prose,86,2,0.2628278434276581,1.0,39
neutral_prose,87,1,0.3394705653190613,1.0,13
neutral_prose,88,0,,1.0,16
neutral_prose,89,7,0.23589953780174255,0.8117647058823529,85
neutral_prose,90,7,0.29079556465148926,0.9111111111111111,90
neutral_prose,91,3,0.33372214436531067,0.9,40
neutral_prose,92,2,0.21039268374443054,0.9666666666666667,30
neutral_prose,93,3,0.1729079931974411,0.9473684210526315,38
neutral_prose,94,3,0.1621958166360855,0.9387755102040817,49
neutral_prose,95,0,,,0
neutral_prose,96,2,0.3627152442932129,0.9393939393939394,33
neutral_prose,97,0,,1.0,4
neutral_prose,98,1,0.6893191337585449,1.0,8
neutral_prose,99,5,0.28130438923835754,0.9347826086956522,46
drift_searched,0,6,0.3034040033817291,0.9292929292929293,99
drift_searched,1,4,0.37288665771484375,0.9655172413793104,29
drift_searched,2,5,0.31835073232650757,0.797752808988764,89
drift_searched,3,1,0.14602863788604736,1.0,16
drift_searched,4,3,0.5234352946281433,1.0,17
drift_searched,5,3,0.1204981803894043,0.9787234042553191,94
drift_searched,6,1,0.34491467475891113,1.0,10
drift_searched,7,3,0.11871691793203354,0.9659090909090909,88
drift_searched,8,4,0.18173767626285553,0.9054054054054054,74
drift_searched,9,4,0.551573634147644,0.9354838709677419,31
drift_searched,10,4,0.19634510576725006,0.9186046511627907,86
drift_searched,11,5,0.1513969451189041,0.9375,96
drift_searched,12,1,0.24465453624725342,0.9583333333333334,24
drift_searched,13,5,0.25339820981025696,0.875,80
drift_searched,14,1,0.1572732925415039,0.9655172413793104,29
drift_searched,15,4,0.23883551359176636,0.8723404255319149,94
drift_searched,16,4,0.282995343208313,0.9634146341463414,82
drift_searched,17,4,0.21707887947559357,0.8823529411764706,68
drift_searched,18,2,0.1888411045074463,0.9642857142857143,28
drift_searched,19,5,0.16573134064674377,0.845360824742268,97
drift_searched,20,6,0.21734249591827393,0.8679245283018868,53
